id;start_date;end_date;language
1;2021-11-30T04:53:26;2021-11-30T02:43:41;ENGLISH
2;2021-11-29T14:21:01;2021-11-29T23:46:30;FRENCH
3;2021-11-30T00:17:13;2021-11-29T12:22:21;SPANISH
4;2021-11-30T04:48:02;2021-11-29T10:14:21;FRENCH
5;2021-11-30T07:04:25;2021-11-29T15:23:23;ENGLISH
6;2021-11-29T16:35:08;2021-11-30T06:35:28;SPANISH
7;2021-11-30T00:38:56;2021-11-29T11:13:05;FRENCH
8;2021-11-29T15:04:49;2021-11-29T11:40:38;FRENCH
9;2021-11-29T15:56:27;2021-11-30T03:27:53;FRENCH
10;2021-11-29T11:53:25;2021-11-30T04:50:54;FRENCH
